# This is a submission template for batch deposit of 'Metagenome or environmental; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).																				
"# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate."																				
# All other fields are optional. Leave optional fields empty if no information is available.																				
"# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table."																				
"# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample."																				
# TO MAKE A SUBMISSION:																				
"#     1. Complete the template table (typically in Excel, or another spreadsheet application)"																				
"#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'"																				
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.																				
"#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov."																				
*sample_name	sample_title	bioproject_accession	*organism	host	isolation_source	*collection_date	*geo_loc_name	*lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	litter_moisture_treatment	corn-type	pen	block	bird
Sample-00001			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	WHITE	1	1	2
Sample-00002			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	WHITE	1	1	5
Sample-00003			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	WHITE	1	1	8
Sample-00004			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	WHITE	1	1	6
Sample-00005			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	YELLOW	2	1	1
Sample-00006			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	YELLOW	2	1	3
Sample-00007			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	YELLOW	2	1	7
Sample-00008			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	YELLOW	2	1	8
Sample-00009			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	ORANGE	3	1	2
Sample-00010			metagenomic	Ross 308 chicken		Dec-2018	USA:Indiana	40.497229 N  87.013652 W					10 g	broiler cecum	Cecal	CONTROL	ORANGE	3	1	5
