EC:1.1.1.1	Alcohol dehydrogenase
EC:1.1.1.10	L-xylulose reductase
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.101	Acylglycerone-phosphate reductase
EC:1.1.1.102	3-dehydrosphinganine reductase
EC:1.1.1.103	L-threonine 3-dehydrogenase
EC:1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))
EC:1.1.1.107	Pyridoxal 4-dehydrogenase
EC:1.1.1.108	Carnitine 3-dehydrogenase
EC:1.1.1.11	D-arabinitol 4-dehydrogenase
EC:1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+))
EC:1.1.1.117	D-arabinose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.132	GDP-mannose 6-dehydrogenase
EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase
EC:1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.14	L-iditol 2-dehydrogenase
EC:1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD(+))
EC:1.1.1.144	Perillyl-alcohol dehydrogenase
EC:1.1.1.145	3-beta-hydroxy-Delta(5)-steroid dehydrogenase
EC:1.1.1.153	Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)
EC:1.1.1.156	Glycerol 2-dehydrogenase (NADP(+))
EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.159	7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.163	Cyclopentanol dehydrogenase
EC:1.1.1.169	2-dehydropantoate 2-reductase
EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.170	(decarboxylating)
EC:1.1.1.173	L-rhamnose 1-dehydrogenase
EC:1.1.1.178	3-hydroxy-2-methylbutyryl-CoA dehydrogenase
EC:1.1.1.179	D-xylose 1-dehydrogenase (NADP(+))
EC:1.1.1.18	Inositol 2-dehydrogenase
EC:1.1.1.181	Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase
EC:1.1.1.184	Carbonyl reductase (NADPH)
EC:1.1.1.189	Prostaglandin-E(2) 9-reductase
EC:1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.195	Cinnamyl-alcohol dehydrogenase
EC:1.1.1.197	15-hydroxyprostaglandin dehydrogenase (NADP(+))
EC:1.1.1.2	Alcohol dehydrogenase (NADP(+))
EC:1.1.1.202	1,3-propanediol dehydrogenase
EC:1.1.1.203	Uronate dehydrogenase
EC:1.1.1.205	IMP dehydrogenase
EC:1.1.1.206	Tropinone reductase I
EC:1.1.1.208	(+)-neomenthol dehydrogenase
EC:1.1.1.21	Aldehyde reductase
EC:1.1.1.211	Long-chain-3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.215	Gluconate 2-dehydrogenase
EC:1.1.1.216	Farnesol dehydrogenase
EC:1.1.1.218	Morphine 6-dehydrogenase
EC:1.1.1.219	Dihydrokaempferol 4-reductase
EC:1.1.1.22	UDP-glucose 6-dehydrogenase
EC:1.1.1.220	6-pyruvoyltetrahydropterin 2'-reductase
EC:1.1.1.223	Isopiperitenol dehydrogenase
EC:1.1.1.23	Histidinol dehydrogenase
EC:1.1.1.234	Flavanone 4-reductase
EC:1.1.1.236	Tropinone reductase II
EC:1.1.1.237	Hydroxyphenylpyruvate reductase
EC:1.1.1.239	3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))
EC:1.1.1.243	Carveol dehydrogenase
EC:1.1.1.244	Methanol dehydrogenase
EC:1.1.1.25	Shikimate dehydrogenase
EC:1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase
EC:1.1.1.252	Tetrahydroxynaphthalene reductase
EC:1.1.1.257	4-(hydroxymethyl)benzenesulfonate dehydrogenase
EC:1.1.1.26	Glyoxylate reductase
EC:1.1.1.261	sn-glycerol-1-phosphate dehydrogenase
EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
EC:1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))
EC:1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:1.1.1.27	L-lactate dehydrogenase
EC:1.1.1.271	GDP-L-fucose synthase
EC:1.1.1.272	D-2-hydroxyacid dehydrogenase (NADP(+))
EC:1.1.1.275	(+)-trans-carveol dehydrogenase
EC:1.1.1.276	Serine 3-dehydrogenase (NADP(+))
EC:1.1.1.28	D-lactate dehydrogenase
EC:1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:1.1.1.282	Quinate/shikimate dehydrogenase
EC:1.1.1.283	Methylglyoxal reductase (NADPH)
EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.286	Isocitrate--homoisocitrate dehydrogenase
EC:1.1.1.287	D-arabinitol dehydrogenase (NADP(+))
EC:1.1.1.288	Xanthoxin dehydrogenase
EC:1.1.1.289	Sorbose reductase
EC:1.1.1.29	Glycerate dehydrogenase
EC:1.1.1.290	4-phosphoerythronate dehydrogenase
EC:1.1.1.291	2-hydroxymethylglutarate dehydrogenase
EC:1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)
EC:1.1.1.294	Chlorophyll(ide) b reductase
EC:1.1.1.298	3-hydroxypropionate dehydrogenase (NADP(+))
EC:1.1.1.3	Homoserine dehydrogenase
EC:1.1.1.30	3-hydroxybutyrate dehydrogenase
EC:1.1.1.300	NADP-retinol dehydrogenase
EC:1.1.1.301	D-arabitol-phosphate dehydrogenase
EC:1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
EC:1.1.1.303	Diacetyl reductase ((R)-acetoin forming)
EC:1.1.1.304	Diacetyl reductase ((S)-acetoin forming)
EC:1.1.1.305	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase
EC:1.1.1.307	D-xylose reductase
EC:1.1.1.308	Sulfopropanediol 3-dehydrogenase
EC:1.1.1.309	Phosphonoacetaldehyde reductase (NADH)
EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase
EC:1.1.1.310	(S)-sulfolactate dehydrogenase
EC:1.1.1.311	(S)-1-phenylethanol dehydrogenase
EC:1.1.1.312	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
EC:1.1.1.313	Sulfoacetaldehyde reductase
EC:1.1.1.315	11-cis-retinol dehydrogenase
EC:1.1.1.316	L-galactose 1-dehydrogenase
EC:1.1.1.320	Benzil reductase ((S)-benzoin forming)
EC:1.1.1.325	Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)
EC:1.1.1.327	5-exo-hydroxycamphor dehydrogenase
EC:1.1.1.328	Nicotine blue oxidoreductase
EC:1.1.1.329	2-deoxy-scyllo-inosamine dehydrogenase
EC:1.1.1.330	Very-long-chain 3-oxoacyl-CoA reductase
EC:1.1.1.333	Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
EC:1.1.1.335	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
EC:1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase
EC:1.1.1.337	L-2-hydroxycarboxylate dehydrogenase (NAD(+))
EC:1.1.1.338	(2R)-3-sulfolactate dehydrogenase (NADP(+))
EC:1.1.1.339	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
EC:1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH)
EC:1.1.1.340	1-deoxy-11-beta-hydroxypentalenate dehydrogenase
EC:1.1.1.341	CDP-abequose synthase
EC:1.1.1.342	CDP-paratose synthase
EC:1.1.1.343	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)
EC:1.1.1.344	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))
EC:1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)
EC:1.1.1.347	Geraniol dehydrogenase (NAD(+))
EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.350	Ureidoglycolate dehydrogenase (NAD(+))
EC:1.1.1.359	Aldose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.36	Acetoacetyl-CoA reductase
EC:1.1.1.360	Glucose/galactose 1-dehydrogenase
EC:1.1.1.361	Glucose-6-phosphate 3-dehydrogenase
EC:1.1.1.362	Aklaviketone reductase
EC:1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.364	dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase
EC:1.1.1.365	D-galacturonate reductase
EC:1.1.1.366	L-idonate 5-dehydrogenase (NAD(+))
EC:1.1.1.367	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
EC:1.1.1.368	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
EC:1.1.1.369	D-chiro-inositol 1-dehydrogenase
EC:1.1.1.37	Malate dehydrogenase
EC:1.1.1.370	Scyllo-inositol 2-dehydrogenase (NAD(+))
EC:1.1.1.371	Scyllo-inositol 2-dehydrogenase (NADP(+))
EC:1.1.1.373	Sulfolactaldehyde 3-reductase
EC:1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase
EC:1.1.1.376	L-arabinose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.377	L-rhamnose 1-dehydrogenase (NADP(+))
EC:1.1.1.378	L-rhamnose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.38	Malate dehydrogenase (oxaloacetate-decarboxylating)
EC:1.1.1.380	L-gulonate 5-dehydrogenase
EC:1.1.1.381	3-hydroxy acid dehydrogenase
EC:1.1.1.385	Dihydroanticapsin 7-dehydrogenase
EC:1.1.1.387	L-serine 3-dehydrogenase (NAD(+))
EC:1.1.1.388	Glucose-6-phosphate dehydrogenase (NAD(+))
EC:1.1.1.39	Malate dehydrogenase (decarboxylating)
EC:1.1.1.4	(R,R)-butanediol dehydrogenase
EC:1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
