K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00006	GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00011	AKR1B; aldehyde reductase [EC:1.1.1.21]
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]
K00049	GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00050	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]
K00051	E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	E1.1.1.116; D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	ARA1; D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00072	SPR; sepiapterin reductase [EC:1.1.1.153]
K00073	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	CBR2; carbonyl reductase 2 [EC:1.1.1.184]
K00082	ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00086	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	mdh; methanol dehydrogenase [EC:1.1.1.244]
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	GULO; L-gulonolactone oxidase [EC:1.1.3.8]
K00104	glcD; glycolate oxidase [EC:1.1.3.15]
K00105	E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K00109	L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	FDH; formate dehydrogenase [EC:1.17.1.9]
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]
K00139	ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	AASDH; acyl-CoA synthetase [EC:6.2.1.-]
K00143	LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	AOX; aldehyde oxidase [EC:1.2.3.1]
K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	PORCN; O-palmitoleoyl transferase [EC:2.3.1.250]
K00183	K00183; prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit
K00184	K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00185	K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
K00186	vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]
K00187	vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]
K00188	vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]
K00189	vorG; 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]
K00192	cdhA; acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]
K00193	cdhC; acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]
K00194	cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]
K00195	cdhB; acetyl-CoA decarbonylase/synthase complex subunit epsilon
K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	cdhE, acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	fwdH; 4Fe-4S ferredoxin
K00205	fwdF, fmdF; 4Fe-4S ferredoxin
K00207	DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00210	E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]
K00211	TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00213	DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
K00218	por; protochlorophyllide reductase [EC:1.3.1.33]
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
K00222	TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]
K00223	ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]
