12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis
2AMINOBENZDEG-PWY	anthranilate degradation III (anaerobic)
2ASDEG-PWY	orthanilate degradation
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II
2PHENDEG-PWY	phenylethylamine degradation I
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation
4TOLCARBDEG-PWY	4-toluenecarboxylate degradation
6-HYDROXYCINEOLE-DEGRADATION-PWY	1,8-cineole degradation
ACETATEUTIL-PWY	superpathway of acetate utilization and formation
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine
AEROBACTINSYN-PWY	aerobactin biosynthesis
ALACAT2-PWY	L-alanine degradation II (to D-lactate)
ALADEG-PWY	L-alanine degradation I
ALANINE-DEG3-PWY	L-alanine degradation III
ALANINE-SYN2-PWY	L-alanine biosynthesis II
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism
AMMASSIM-PWY	ammonia assimilation cycle III
AMMOXID-PWY	ammonia oxidation I (aerobic)
ANAEROFRUCAT-PWY	homolactic fermentation
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)
ARABCAT-PWY	L-arabinose degradation I
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)
ARGININE-SYN4-PWY	L-ornithine de novo  biosynthesis
ARGORNPROST-PWY	arginine, ornithine and proline interconversion
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)
ARGSPECAT-PWY	spermine biosynthesis
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)
ARO-PWY	chorismate biosynthesis I
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)
ASPARAGINE-DEG1-PWY	L-asparagine degradation I
ASPARAGINESYN-PWY	L-asparagine biosynthesis II
ASPARTATE-DEG1-PWY	L-aspartate degradation I
ASPARTATESYN-PWY	L-aspartate biosynthesis
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis
ASPSYNII-PWY	cyanide detoxification I
AST-PWY	L-arginine degradation II (AST pathway)
BENZCOA-PWY	anaerobic aromatic compound degradation (Thauera aromatica)
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)
BGALACT-PWY	lactose degradation III
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
CALVIN-PWY	Calvin-Benson-Bassham cycle
CAMALEXIN-SYN	camalexin biosynthesis
CARNMET-PWY	L-carnitine degradation I
CAROTENOID-PWY	superpathway of carotenoid biosynthesis
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)
CENTFERM-PWY	pyruvate fermentation to butanoate
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)
CHOLINE-BETAINE-ANA-PWY	choline degradation I
CITRULBIO-PWY	L-citrulline biosynthesis
CITRULLINE-DEG-PWY	L-citrulline degradation
CO2FORM-PWY	methanogenesis from methanol
COA-PWY-1	coenzyme A biosynthesis II (mammalian)
COA-PWY	coenzyme A biosynthesis I
